Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Baseline
153,-86.94371378,40.43799077,173.939,,-86.94371378,40.43799077,173.939,,,,,2.134,FIX,2021-06-01 12:03:09.3 UTC-04:00,2021-06-01 12:03:09.3 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2664.636
154,-86.94371333,40.43790775,173.818,,-86.94371333,40.43790775,173.818,,,,,2.134,FIX,2021-06-01 12:03:29.6 UTC-04:00,2021-06-01 12:03:29.6 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2672.273
155,-86.94371297,40.43783634,173.715,,-86.94371297,40.43783634,173.715,,,,,2.134,FIX,2021-06-01 12:03:50.5 UTC-04:00,2021-06-01 12:03:50.5 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2678.852
156,-86.94371123,40.43774288,173.613,,-86.94371123,40.43774288,173.613,,,,,2.134,FIX,2021-06-01 12:04:09.9 UTC-04:00,2021-06-01 12:04:09.9 UTC-04:00,1,1.3,-86.92619664,40.45790787,188.082,2687.412
157,-86.94371079,40.43771754,173.560,,-86.94371079,40.43771754,173.560,,,,,2.134,FIX,2021-06-01 12:07:54.5 UTC-04:00,2021-06-01 12:07:54.5 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2689.737
158,-86.94371500,40.43770610,173.587,,-86.94371500,40.43770610,173.587,,,,,2.134,FIX,2021-06-01 12:08:09.8 UTC-04:00,2021-06-01 12:08:09.8 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2690.993
159,-86.94371832,40.43769193,173.576,,-86.94371832,40.43769193,173.576,,,,,2.134,FIX,2021-06-01 12:08:22.9 UTC-04:00,2021-06-01 12:08:22.9 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2692.460
160,-86.94372414,40.43767638,173.544,,-86.94372414,40.43767638,173.544,,,,,2.134,FIX,2021-06-01 12:08:35.8 UTC-04:00,2021-06-01 12:08:35.8 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2694.173
161,-86.94373294,40.43766110,173.528,,-86.94373294,40.43766110,173.528,,,,,2.134,FIX,2021-06-01 12:08:51.2 UTC-04:00,2021-06-01 12:08:51.2 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2696.001
162,-86.94374481,40.43764441,173.510,,-86.94374481,40.43764441,173.510,,,,,2.134,FIX,2021-06-01 12:09:13.2 UTC-04:00,2021-06-01 12:09:13.2 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2698.102
163,-86.94375519,40.43763416,173.497,,-86.94375519,40.43763416,173.497,,,,,2.134,FIX,2021-06-01 12:09:21.9 UTC-04:00,2021-06-01 12:09:21.9 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2699.538
164,-86.94376302,40.43762747,173.455,,-86.94376302,40.43762747,173.455,,,,,2.134,FIX,2021-06-01 12:09:38.8 UTC-04:00,2021-06-01 12:09:38.8 UTC-04:00,1,1.7,-86.92619664,40.45790787,188.082,2700.523
